SKU,ABC_Class,inventory_efficiency_factor,order_qty_factor,original_service_level,optimized_service_level,original_holding_cost,optimized_holding_cost,original_ordering_cost,optimized_ordering_cost,original_stockout_cost,optimized_stockout_cost,original_total_cost,optimized_total_cost,original_avg_inventory,optimized_avg_inventory,cost_savings_pct
FAN_MOTOR_2_167,C,0.8,0.7,0.9,0.9,273.64,218.912,89.65,62.755,178.42,214.104,541.71,495.771,527.85,422.28,8.480367724
FAN_MOTOR_2_183,B,0.8,0.7,0.95,0.95,391.33,313.064,123.86,86.702,126.84,152.208,642.03,551.974,370.94,296.752,14.026758874
FAN_MOTOR_2_209,B,0.8,0.7,0.95,0.95,429.06,343.248,106.24,74.368,99.07,118.884,634.37,536.5,206.19,164.952,15.42790485
FAN_MOTOR_2_211,C,0.8,0.7,0.9,0.9,261.91,209.528,65.11,45.577,96.19,115.428,423.21,370.533,52.4,41.92,12.447012122
FAN_MOTOR_2_213,B,0.8,0.7,0.95,0.95,265.77,212.616,136.78,95.746,58.54,70.248,461.09,378.61,1525.62,1220.496,17.888047887
FAN_MOTOR_2_221,C,0.8,0.7,0.9,0.9,322.66,258.128,80.21,56.147,202.43,242.916,605.3,557.191,529.47,423.576,7.947959689
FAN_MOTOR_2_234,B,0.8,0.7,0.95,0.95,401.4,321.12,99.64,69.748,109.6,131.52,610.64,522.388,274.59,219.672,14.452377833
FAN_MOTOR_2_242,B,0.8,0.7,0.95,0.95,388.14,310.512,96.35,67.445,99.62,119.544,584.11,497.501,118.43,94.744,14.827515365
FAN_MOTOR_2_253,C,0.8,0.7,0.9,0.9,209.81,167.848,52.26,36.582,78.45,94.14,340.52,298.57,143.42,114.736,12.319393868
FAN_MOTOR_2_280,C,0.8,0.7,0.9,0.9,287.36,229.888,71.48,50.036,141.71,170.052,500.55,449.976,192.53,154.024,10.103685945
FAN_MOTOR_2_284,A,0.8,0.7,0.98,0.98,710.79,568.632,270.06,189.042,185.4,222.48,1166.25,980.154,638.88,511.104,15.956784566
FAN_MOTOR_2_285,B,0.8,0.7,0.95,0.95,336.79,269.432,83.71,58.597,80.47,96.564,500.97,424.593,288.47,230.776,15.245823103
FAN_MOTOR_2_287,C,0.8,0.7,0.9,0.9,171.31,137.048,47.88,33.516,46.56,55.872,265.75,226.436,409.11,327.288,14.79360301
FAN_MOTOR_2_292,C,0.8,0.7,0.9,0.9,252.47,201.976,62.76,43.932,86.25,103.5,401.48,349.408,78.49,62.792,12.970010959
FAN_MOTOR_2_296,B,0.8,0.7,0.95,0.95,360.44,288.352,91.46,64.022,89.08,106.896,540.98,459.27,352.4,281.92,15.104070391
FAN_MOTOR_2_318,C,0.8,0.7,0.9,0.9,189.13,151.304,47.13,32.991,63.67,76.404,299.93,260.699,190.56,152.448,13.080052012
FAN_MOTOR_2_328,B,0.8,0.7,0.95,0.95,379.05,303.24,94.02,65.814,83.48,100.176,556.55,469.23,211.79,169.432,15.689515767
FAN_MOTOR_2_358,C,0.8,0.7,0.9,0.9,164.39,131.512,40.98,28.686,48.7,58.44,254.07,218.638,132.31,105.848,13.945762979
FAN_MOTOR_2_359,C,0.8,0.7,0.9,0.9,374.88,299.904,93.03,65.121,213.54,256.248,681.45,621.273,159.58,127.664,8.830728593
FAN_MOTOR_2_362,C,0.8,0.7,0.9,0.9,247.4,197.92,61.57,43.099,100.55,120.66,409.52,361.679,266.07,212.856,11.682213323
FAN_MOTOR_2_383,A,0.8,0.7,0.98,0.98,438.91,351.128,145.93,102.151,69.61,83.532,654.45,536.811,619.12,495.296,17.97524639
FAN_MOTOR_2_389,B,0.8,0.7,0.95,0.95,457.04,365.632,239.21,167.447,191.89,230.268,888.14,763.347,1288.89,1031.112,14.05105051
FAN_MOTOR_2_401,C,0.8,0.7,0.9,0.9,236.3,189.04,66.44,46.508,144.44,173.328,447.18,408.876,394.22,315.376,8.56567825
FAN_MOTOR_2_407,C,0.8,0.7,0.9,0.9,244.78,195.824,60.89,42.623,88.23,105.876,393.9,344.323,198.2,158.56,12.586189388
FAN_MOTOR_2_408,A,0.8,0.7,0.98,0.98,522.62,418.096,147.25,103.075,76.89,92.268,746.76,613.439,328.65,262.92,17.853259414
FAN_MOTOR_2_410,B,0.8,0.7,0.95,0.95,216.01,172.808,77.69,54.383,42.18,50.616,335.88,277.807,869.6,695.68,17.289805883
FAN_MOTOR_2_424,B,0.8,0.7,0.95,0.95,280.24,224.192,84.92,59.444,58.54,70.248,423.7,353.884,442.29,353.832,16.477696483
FAN_MOTOR_2_469,C,0.8,0.7,0.9,0.9,312.02,249.616,91.88,64.316,168.04,201.648,571.94,515.58,477.54,382.032,9.854180508
FAN_MOTOR_2_485,A,0.8,0.7,0.98,0.98,652.33,521.864,198.5,138.95,123.39,148.068,974.22,808.882,428.44,342.752,16.971320646
FAN_MOTOR_2_505,A,0.8,0.7,0.98,0.98,491.71,393.368,185.51,129.857,84.51,101.412,761.73,624.637,549.65,439.72,17.997584446
LED_PANEL_1_022,A,0.8,0.7,0.98,0.98,565.88,452.704,190.45,133.315,72.28,86.736,828.61,672.755,360.61,288.488,18.809210606
LED_PANEL_1_033,B,0.8,0.7,0.95,0.95,585.55,468.44,144.61,101.227,195.05,234.06,925.21,803.727,145.87,116.696,13.130316361
LED_PANEL_1_037,A,0.8,0.7,0.98,0.98,910.6,728.48,436.89,305.823,242.4,290.88,1589.89,1325.183,392.04,313.632,16.649390838
LED_PANEL_1_053,B,0.8,0.7,0.95,0.95,483.36,386.688,119.74,83.818,148.11,177.732,751.21,648.238,487.01,389.608,13.707485257
LED_PANEL_1_084,B,0.8,0.7,0.95,0.95,381.63,305.304,133.93,93.751,105.01,126.012,620.57,525.067,410.76,328.608,15.38956121
LED_PANEL_1_100,A,0.8,0.7,0.98,0.98,1042.27,833.816,353.69,247.583,270.47,324.564,1666.43,1405.963,423.17,338.536,15.630239494
LED_PANEL_1_108,A,0.8,0.7,0.98,0.98,955.01,764.008,425.98,298.186,216.99,260.388,1597.98,1322.582,413.82,331.056,17.234133093
LED_PANEL_1_120,B,0.8,0.7,0.95,0.95,442.34,353.872,109.35,76.545,91.71,110.052,643.4,540.469,171.96,137.568,15.997979484
LED_PANEL_1_122,C,0.8,0.7,0.9,0.9,241.69,193.352,60.13,42.091,87.16,104.592,388.98,340.035,593.11,474.488,12.582909147
LED_PANEL_1_131,B,0.8,0.7,0.95,0.95,311.15,248.92,107.22,75.054,79.7,95.64,498.07,419.614,2502.24,2001.792,15.752002731
LED_PANEL_1_135,B,0.8,0.7,0.95,0.95,675.52,540.416,166.54,116.578,261.23,313.476,1103.29,970.47,146.46,117.168,12.038539278
LED_PANEL_1_163,B,0.8,0.7,0.95,0.95,380.3,304.24,94.32,66.024,82.98,99.576,557.6,469.84,176.07,140.856,15.738880918
LED_PANEL_1_165,B,0.8,0.7,0.95,0.95,405.48,324.384,117.12,81.984,120.53,144.636,643.13,551.004,370.85,296.68,14.324631101
LED_PANEL_1_178,B,0.8,0.7,0.95,0.95,333.92,267.136,125.4,87.78,96.99,116.388,556.31,471.304,3898.08,3118.464,15.280329313
LED_PANEL_1_223,C,0.8,0.7,0.9,0.9,184.67,147.736,45.95,32.165,40.89,49.068,271.51,228.969,705.86,564.688,15.66829951
LED_PANEL_1_246,B,0.8,0.7,0.95,0.95,567.68,454.144,139.91,97.937,150.98,181.176,858.57,733.257,206.81,165.448,14.595548412
LED_PANEL_1_257,A,0.8,0.7,0.98,0.98,659.91,527.928,162.56,113.792,81.87,98.244,904.34,739.964,157.5,126,18.176349603
LED_PANEL_1_269,B,0.8,0.7,0.95,0.95,588.18,470.544,152.6,106.82,204.31,245.172,945.09,822.536,227.92,182.336,12.967442254
LED_PANEL_1_272,C,0.8,0.7,0.9,0.9,214.88,171.904,53.46,37.422,61.19,73.428,329.53,282.754,101.84,81.472,14.194762237
LED_PANEL_1_279,C,0.8,0.7,0.9,0.9,326.76,261.408,111.68,78.176,191.58,229.896,630.02,569.48,384.12,307.296,9.609218755
LED_PANEL_1_280,A,0.8,0.7,0.98,0.98,714.43,571.544,235.44,164.808,137.66,165.192,1087.53,901.544,297.24,237.792,17.101689149
LED_PANEL_1_287,A,0.8,0.7,0.98,0.98,576.05,460.84,241.49,169.043,99.56,119.472,917.1,749.355,563.4,450.72,18.290807982
LED_PANEL_1_288,B,0.8,0.7,0.95,0.95,313.04,250.432,122.7,85.89,95.66,114.792,531.4,451.114,3079.74,2463.792,15.108392924
LED_PANEL_1_295,B,0.8,0.7,0.95,0.95,320.92,256.736,141.24,98.868,96.4,115.68,558.56,471.284,3743.27,2994.616,15.625179032
LED_PANEL_1_297,A,0.8,0.7,0.98,0.98,701.73,561.384,193.86,135.702,125.96,151.152,1021.55,848.238,214.35,171.48,16.965591503
LED_PANEL_1_306,A,0.8,0.7,0.98,0.98,810.78,648.624,296.24,207.368,200.58,240.696,1307.6,1096.688,322.2,257.76,16.129703273
LED_PANEL_1_315,B,0.8,0.7,0.95,0.95,321.19,256.952,79.58,55.706,44.49,53.388,445.26,366.046,294.58,235.664,17.790504424
LED_PANEL_1_325,C,0.8,0.7,0.9,0.9,201.88,161.504,50.27,35.189,64.4,77.28,316.55,273.973,125.39,100.312,13.450323804
LED_PANEL_1_337,A,0.8,0.7,0.98,0.98,500.24,400.192,195.79,137.053,64.57,77.484,760.6,614.729,757.25,605.8,19.17841178
LED_PANEL_1_339,A,0.8,0.7,0.98,0.98,699.3,559.44,268.98,188.286,148.31,177.972,1116.59,925.698,486.84,389.472,17.095979724
LED_PANEL_1_343,A,0.8,0.7,0.98,0.98,492.56,394.048,172.39,120.673,49.56,59.472,714.51,574.193,446.06,356.848,19.638213601
LED_PANEL_1_349,A,0.8,0.7,0.98,0.98,896.75,717.4,307.06,214.942,223.18,267.816,1426.99,1200.158,445.09,356.072,15.895836691
LED_PANEL_1_362,B,0.8,0.7,0.95,0.95,713.95,571.16,176.03,123.221,309.29,371.148,1199.27,1065.529,289.84,231.872,11.151867386
LED_PANEL_1_364,A,0.8,0.7,0.98,0.98,857.15,685.72,361.29,252.903,227.7,273.24,1446.14,1211.863,382.74,306.192,16.200160427
LED_PANEL_1_369,C,0.8,0.7,0.9,0.9,260.68,208.544,75.9,53.13,94.86,113.832,431.44,375.506,1187.38,949.904,12.964491007
